Word,Score
es,0.44859021108325803
mil,0.2023715237969585
ya,0.1989986650670092
más,0.19225294760711056
también,0.17876151268731333
va,0.14840578411776956
todo,0.14166006665787095
tabasco,0.13491434919797232
vamos,0.1247957730081244
son,0.1247957730081244
eso,0.1247957730081244
presidente,0.1214229142781751
entonces,0.11805005554822579
está,0.11805005554822579
estado,0.10793147935837787
muy,0.10793147935837787
no,0.10118576189847925
era,0.10118576189847925
su,0.09781290316852995
tiene,0.09781290316852995
están,0.09444004443858063
nacional,0.09444004443858063
todos,0.09444004443858063
sí,0.09106718570863133
pesos,0.09106718570863133
año,0.09106718570863133
qué,0.08769432697868201
millones,0.08769432697868201
ha,0.08769432697868201
ahora,0.0809486095187834
dos,0.0775757507888341
hay,0.07420289205888478
ese,0.07420289205888478
cuando,0.07083003332893548
pueblo,0.07083003332893548
fue,0.07083003332893548
así,0.07083003332893548
aquí,0.07083003332893548
ver,0.06745717459898616
tres,0.06745717459898616
pensión,0.06745717459898616
gente,0.06408431586903686
años,0.06408431586903686
bienestar,0.06408431586903686
gobierno,0.06071145713908755
esto,0.06071145713908755
nada,0.05733859840913824
van,0.05733859840913824
bueno,0.05733859840913824
cómo,0.05733859840913824
seguridad,0.05733859840913824
han,0.05733859840913824
méxico,0.05396573967918893
ciento,0.05396573967918893
ser,0.050592880949239624
voy,0.050592880949239624
pública,0.050592880949239624
lugar,0.050592880949239624
mucho,0.050592880949239624
tiempo,0.050592880949239624
país,0.050592880949239624
personas,0.050592880949239624
esa,0.050592880949239624
poder,0.050592880949239624
tenemos,0.047220022219290315
pues,0.047220022219290315
tener,0.047220022219290315
estar,0.047220022219290315
nosotros,0.047220022219290315
todas,0.04384716348934101
río,0.04384716348934101
jesús,0.04384716348934101
tren,0.0404743047593917
corrupción,0.0404743047593917
nivel,0.0404743047593917
gráfica,0.0404743047593917
manera,0.0404743047593917
sexenio,0.0404743047593917
estaba,0.0404743047593917
adultos,0.03710144602944239
secretario,0.03710144602944239
sólo,0.03710144602944239
fueron,0.03710144602944239
decir,0.03710144602944239
antes,0.03710144602944239
mayores,0.03710144602944239
estamos,0.03710144602944239
jóvenes,0.03372858729949308
bien,0.03372858729949308
